doc_id,volume,state_variation,version_date,source_file,path,anchor_id,parent_anchor_id,order_in_parent,para_start,para_end,unit_label,unit_type,compliance_weight,title,text,text_html,defined_term,contains_shall,contains_must,external_refs,internal_refs,satisfies_pr_ids,related_unit_ids,asset_type,asset_id,asset_caption,asset_alt_text,page_start,page_end,bbox_json,extract_confidence,warnings,ncc_pathway,normative_status,conditionality,heading_context,raw_title,raw_text,applies_state,variation_action,affected_unit_label,affected_subparts,affects_anchor_id,table_grid_json,table_key_values,base_unit_label,affected_subclause,conditions_text,exceptions_text,requirements_list,standards_referenced,notes_quality,discipline,table_purpose,table_id,table_label,applies_to_volume,applies_to_class,volume_hierarchy,dataset_coverage,scope_conditions,formula_json,constant_value,constant_name,pathway_alternative_to,verification_method_for,section_code,part_code,indexable
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A1,"",0,41,41,A1,OTHER,"",Part A1                            Interpreting the NCC 	32,Part A1                            Interpreting the NCC 	32,Part A1                            Interpreting the NCC 	32,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A1                            Interpreting the NCC 	32,Part A1                            Interpreting the NCC 	32,"","","","","","","",A1,"","","","","","",Governing,"","","",V2,"","","","","","","","","",A,A1,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A2,"",1,42,42,A2,OTHER,"",Part A2                           Compliance with the NCC	35,Part A2                           Compliance with the NCC	35,Part A2                           Compliance with the NCC	35,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A2                           Compliance with the NCC	35,Part A2                           Compliance with the NCC	35,"","","","","","","",A2,"","","","","","",Governing,"","","",V2,"","","","","","","","","",A,A2,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A3,"",2,43,43,A3,OTHER,"",Part A3                          Application of the NCC in States and Territories	39,Part A3                          Application of the NCC in States and Territories	39,Part A3                          Application of the NCC in States and Territories	39,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A3                          Application of the NCC in States and Territories	39,Part A3                          Application of the NCC in States and Territories	39,"","","","","","","",A3,"","","","","","",Governing,"","","",V2,"","","","","","","","","",A,A3,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A4,"",3,44,44,A4,OTHER,"",Part A4                           Referenced documents	40,Part A4                           Referenced documents	40,Part A4                           Referenced documents	40,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A4                           Referenced documents	40,Part A4                           Referenced documents	40,"","","","","","","",A4,"","","","","","",Governing,"","","",V2,"","","","","","","","","",A,A4,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A5,"",4,45,45,A5,OTHER,"",Part A5                           Documentation of design and construction	42,Part A5                           Documentation of design and construction	42,Part A5                           Documentation of design and construction	42,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A5                           Documentation of design and construction	42,Part A5                           Documentation of design and construction	42,"","","","","","","",A5,"","","","","","","","","","",V2,"","","","","","","","","",A,A5,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A6,"",5,46,46,A6,OTHER,"",Part A6                           Building classification 	49,Part A6                           Building classification 	49,Part A6                           Building classification 	49,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A6                           Building classification 	49,Part A6                           Building classification 	49,"","","","","","","",A6,"","","","","","","","","","",V2,"","","","","","","","","",A,A6,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::A7,"",6,47,51,A7,OTHER,"",Part A7                           United buildings 	61,Part A7                           United buildings 	61  Specification 1              Fire-resistance of building elements	63  Specification 2              Descriptions of elements referred to in Specification 1 	69  Specification 3              Fire hazard properties 	75  Section H         Class 1 and 10 buildings,Part A7                           United buildings 	61  Specification 1              Fire-resistance of building elements	63  Specification 2              Descriptions of elements referred to in Specification 1 	69  Specification 3              Fire hazard properties 	75  Section H         Class 1 and 10 buildings,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A7                           United buildings 	61,Part A7                           United buildings 	61  Specification 1              Fire-resistance of building elements	63  Specification 2              Descriptions of elements referred to in Specification 1 	69  Specification 3              Fire hazard properties 	75  Section H         Class 1 and 10 buildings,"","","","","","","",A7,"","","","","","","","","","",V2,"","","","","","","","","",A,A7,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::H1,"",7,52,52,H1,OTHER,"",Part H1                            Structure 	81,Part H1                            Structure 	81,Part H1                            Structure 	81,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part H1                            Structure 	81,Part H1                            Structure 	81,"","","","","","","",H1,"","","","","","",Energy,"","","",V2,"","","","","","","","","",H,H1,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::H2,"",8,53,53,H2,OTHER,"",Part H2                           Damp and weatherproofing	102,Part H2                           Damp and weatherproofing	102,Part H2                           Damp and weatherproofing	102,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part H2                           Damp and weatherproofing	102,Part H2                           Damp and weatherproofing	102,"","","","","","","",H2,"","","","","","",Energy,"","","",V2,"","","","","","","","","",H,H2,true
ncc2022,Vol2,"","",NCC2022-volume-two.docx,Vol2,VOL2::H3,"",9,54,54,H3,OTHER,"",Part H3                           Fire safety	111,Part H3                           Fire safety	111,Part H3                           Fire safety	111,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part H3                           Fire safety	111,Part H3                           Fire safety	111,"","","","","","","",H3,"","","","","","",Energy,"","","",V2,"","","","","","","","","",H,H3,true
